t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
-0.0600,1,-1212.1566,1294.8864,11.7224,0.0000,0.0000,0.0000,115.7882,0.6756,-3.6788,-0.5383
0.0400,1,-1211.2190,1290.2200,16.1132,0.0540,-0.1535,0.1144,110.9590,0.5945,-3.5395,-2.7811
0.1000,1,-1211.4426,1289.9980,16.1201,0.0444,-0.1625,0.1144,110.9125,0.5843,-3.5414,-1.7288
0.1400,1,-1207.8774,1288.6789,21.3023,0.3071,-0.3106,0.3884,106.0635,0.6393,-3.3737,-4.3848
0.2400,1,-1210.6717,1292.1613,27.7005,-0.1134,0.1785,0.9013,100.0262,0.6504,-3.1719,1.8667
0.3000,1,-1210.9498,1291.9178,27.7545,-0.1398,0.1538,0.9013,99.9570,0.6385,-3.1722,2.8943
0.3400,1,-1211.5326,1293.8406,30.7385,-0.3242,0.4912,1.2195,97.4313,0.6672,-3.0780,5.4094
0.4370,1,-1211.5639,1293.8881,30.8564,-0.3242,0.4912,1.2195,97.4757,0.6675,-3.0772,7.0643
0.4400,1,-1209.6897,1295.5357,32.2826,-0.0646,0.7064,1.4099,96.6518,0.7482,-3.0312,7.0677
0.4700,1,-1209.6916,1295.5569,32.3249,-0.0646,0.7064,1.4099,96.6679,0.7486,-3.0308,7.5763
0.5000,1,-1209.8884,1295.3958,32.3672,-0.0940,0.6789,1.4099,96.6236,0.7404,-3.0304,8.0845
0.5400,1,-1209.1071,1296.8765,34.8409,-0.0341,0.9835,1.7963,94.7906,0.7915,-2.9520,9.3274
0.6400,1,-1211.4059,1293.6956,38.9970,-0.3448,0.2532,2.5243,89.9790,0.6670,-2.8202,10.2686
0.7000,1,-1210.8345,1294.2649,39.1485,-0.2267,0.3636,2.5243,90.1680,0.6931,-2.8171,11.2567
0.8400,1,-1206.4825,1288.8987,45.1598,2.0175,-2.2007,3.7775,83.5458,0.6772,-2.6212,6.7242
0.9000,1,-1206.5738,1288.5679,45.3865,1.9667,-2.2483,3.7775,83.3410,0.6677,-2.6154,7.4949
0.9400,1,-1206.6502,1288.6233,50.8137,1.8760,-2.1564,5.0597,78.2407,0.6672,-2.4406,8.3606
1.0030,1,-1218.8155,1274.9837,120.8053,-1.1619,-5.7420,22.6856,12.6205,0.0759,-0.1730,11.2042
1.0400,1,-1218.8581,1274.7731,121.6371,-1.1619,-5.7420,22.6856,12.7330,0.0701,-0.1469,11.7088
1.1000,1,-1218.9252,1274.4313,122.9983,-1.1605,-5.7406,22.6856,13.0717,0.0609,-0.1041,12.5358
1.1400,1,-1216.0284,1271.0906,123.7986,0.4937,-7.4869,22.6441,9.2071,0.0539,-0.0692,8.8052
1.2400,1,-1215.4711,1269.7903,126.1527,0.7826,-7.8028,22.7242,9.2710,0.0377,0.0074,9.1962
1.3000,1,-1215.4817,1269.2636,127.5160,0.7312,-7.8535,22.7241,10.0008,0.0256,0.0509,9.8475
1.3400,1,-1213.2520,1266.7226,128.6481,2.0166,-9.1142,22.9613,7.7644,0.0208,0.0945,7.1763
1.4400,1,-1212.7614,1265.3539,131.0783,2.1566,-9.4031,23.0926,9.2542,0.0014,0.1740,7.5673
1.5000,1,-1212.5627,1264.8587,132.4639,2.2224,-9.3392,23.0926,10.5054,-0.0051,0.2187,8.0976
1.5400,1,-1214.2667,1265.8546,133.1833,1.0957,-8.6457,22.8796,12.8984,-0.0228,0.2363,10.6565
1.7000,1,-1214.1385,1264.4247,136.8440,1.0536,-8.6863,22.8796,16.4320,-0.0521,0.3538,12.2653
1.7400,1,-1213.6970,1264.3473,138.1800,1.3857,-8.4371,23.2432,17.5600,-0.0435,0.3970,12.6191
1.8400,1,-1212.5188,1262.3890,140.6254,1.9570,-9.0498,23.3527,19.0984,-0.0600,0.4797,12.1153
1.9000,1,-1212.3012,1261.9439,142.0266,2.0376,-8.9722,23.3527,20.5257,-0.0650,0.5249,12.6714
1.9400,1,-1209.7967,1259.2754,142.5954,3.3776,-10.1839,23.0867,19.5235,-0.0664,0.5521,9.6784
2.0400,1,-1207.4646,1256.6221,144.2450,4.4839,-10.9978,22.6125,20.3459,-0.0715,0.6127,7.8168
2.1000,1,-1207.2258,1255.9329,145.6017,4.4621,-11.0186,22.6125,21.7555,-0.0816,0.6573,8.1808
2.1030,1,-1207.6696,1257.5390,131.1468,4.3122,-10.0359,12.2802,10.3110,-0.0555,0.1811,8.5483
2.1400,1,-1206.3893,1256.0882,131.7392,4.9064,-10.5867,12.3896,9.6900,-0.0582,0.2043,7.2218
2.2400,1,-1203.8141,1252.9546,132.6731,5.9807,-11.6258,12.1919,9.0172,-0.0685,0.2423,4.7783
2.3000,1,-1203.4553,1252.2570,133.4046,5.9807,-11.6258,12.1919,9.7855,-0.0759,0.2666,4.9951
2.3400,1,-1203.2160,1251.7920,133.8923,5.9807,-11.6258,12.1919,10.3000,-0.0809,0.2828,5.1395
2.4400,1,-1202.0250,1250.0989,134.9462,6.2787,-11.8733,12.0850,11.1272,-0.0913,0.3200,4.6972
2.5000,1,-1201.7207,1249.3168,135.6713,6.2289,-11.9210,12.0850,11.9264,-0.1019,0.3442,4.8908
2.5400,1,-1199.9244,1246.7640,135.9787,6.9199,-12.9498,11.9917,11.7558,-0.1177,0.3613,2.4454
2.6400,1,-1198.0956,1244.4231,136.8839,7.4614,-13.4207,11.8162,12.6280,-0.1278,0.3961,1.0860
2.7000,1,-1197.6480,1243.6179,137.5929,7.4614,-13.4207,11.8162,13.3920,-0.1356,0.4203,1.1632
2.7030,1,-1194.4695,1247.4767,128.2602,9.4867,-10.9469,5.9054,3.6269,0.0291,0.1109,1.0776
2.7400,1,-1193.6831,1246.5976,128.5646,9.6857,-11.1666,5.9670,3.8336,0.0278,0.1228,0.4798
2.8400,1,-1191.4727,1244.3423,129.0065,10.2541,-11.6580,5.8883,4.5303,0.0290,0.1426,-1.1220
2.9000,1,-1190.8574,1243.6428,129.3598,10.2541,-11.6580,5.8883,4.8766,0.0277,0.1550,-1.1154
