t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
-0.0600,1,-1212.1566,1294.8864,11.7224,0.0000,0.0000,0.0000,115.7882,0.6756,-3.6788,-0.5383
0.0400,1,-1211.2190,1290.2200,16.1132,0.0540,-0.1535,0.1144,110.9590,0.5945,-3.5395,-2.7811
0.1400,1,-1207.6532,1288.8889,21.3023,0.3165,-0.3018,0.3884,106.1210,0.6493,-3.3737,-4.3849
0.2400,1,-1210.4532,1292.3658,27.7005,-0.1046,0.1867,0.9013,100.0865,0.6601,-3.1719,1.8666
0.3400,1,-1211.0522,1294.2902,30.7385,-0.2905,0.5227,1.2195,97.5720,0.6885,-3.0780,5.4095
0.4400,1,-1209.2061,1295.9875,32.2826,-0.0322,0.7365,1.4099,96.8115,0.7696,-3.0312,7.0680
0.5400,1,-1208.4328,1297.5060,34.8409,0.0253,1.0385,1.7963,95.0315,0.8213,-2.9520,9.3282
0.6400,1,-1210.7936,1294.2688,38.9970,-0.2943,0.3006,2.5243,90.1735,0.6941,-2.8202,10.2687
0.8400,1,-1206.4727,1288.9079,45.1598,1.9496,-2.2642,3.7775,83.5491,0.6777,-2.6212,6.7243
0.9400,1,-1206.4420,1288.8183,50.8138,1.8567,-2.1744,5.0597,78.3156,0.6764,-2.4406,8.3606
1.0400,1,-1206.2563,1288.6008,51.3197,1.8567,-2.1744,5.0597,78.0118,0.6760,-2.4267,9.6496
1.1400,1,-1203.7809,1284.9517,55.6154,3.2747,-3.9578,6.0704,73.2690,0.6537,-2.2857,6.9783
1.2400,1,-1203.7292,1283.4828,60.7438,3.3008,-4.3730,7.3429,68.1742,0.6222,-2.1205,7.5868
1.3400,1,-1201.3466,1280.8021,67.9966,4.4670,-5.6340,9.2267,60.9560,0.6190,-1.8828,5.8096
1.4400,1,-1201.8846,1278.6918,73.1102,4.2450,-6.1765,10.4762,55.6209,0.5591,-1.7174,6.3813
1.5400,1,-1205.6415,1277.3393,74.7656,2.5407,-5.9478,10.6737,53.6457,0.4396,-1.6683,9.5727
1.7400,1,-1203.6433,1277.4462,82.3468,3.0030,-5.5358,12.3733,47.4944,0.4894,-1.4248,11.6743
1.8400,1,-1202.9504,1275.1732,87.3274,3.3583,-6.3254,13.5393,42.4813,0.4550,-1.2618,11.3119
1.9400,1,-1200.3828,1272.0557,90.4266,4.5669,-7.6482,14.0679,38.8336,0.4461,-1.1566,8.9665
2.0400,1,-1197.8900,1269.6934,92.4744,5.5805,-8.5477,14.2531,36.5287,0.4524,-1.0864,7.1696
2.1400,1,-1195.8286,1267.8402,101.1006,6.2754,-9.0975,16.5059,28.8096,0.4598,-0.8015,6.4081
2.2400,1,-1192.9956,1265.0678,102.8685,7.3485,-10.0875,16.5221,26.7976,0.4651,-0.7385,4.0755
2.3400,1,-1192.2607,1264.0591,104.5207,7.3485,-10.0875,16.5221,25.3973,0.4599,-0.6844,4.4550
2.4400,1,-1191.0996,1262.4520,106.3430,7.5678,-10.3659,16.5691,23.6701,0.4514,-0.6232,4.1194
2.5400,1,-1192.2309,1256.0475,109.8776,7.2776,-12.3341,17.1247,17.4721,0.2787,-0.5016,1.9884
2.6400,1,-1190.2294,1253.9760,111.1306,7.8299,-12.7633,16.9729,16.1955,0.2796,-0.4568,0.7088
2.7400,1,-1189.4506,1251.4636,117.6499,7.9057,-13.2196,18.4170,10.2407,0.2409,-0.2390,0.3012
2.8400,1,-1185.8353,1250.5131,119.4276,8.9181,-13.2840,18.3835,10.6999,0.3063,-0.1756,-1.2338
2.9400,1,-1185.3739,1248.3587,128.2857,8.7958,-13.5347,20.4490,8.8758,0.2681,0.1194,-0.9602
3.0400,1,-1185.0661,1245.6526,126.0459,8.6977,-14.0045,19.1955,6.8043,0.2134,0.0479,-1.7793
3.1400,1,-1183.1668,1245.0233,124.9252,9.0193,-13.8057,18.3189,7.6497,0.2448,0.0123,-2.1077
3.2400,1,-1181.6927,1244.5861,127.5166,9.1552,-13.5061,18.5378,8.8066,0.2705,0.0990,-1.7331
3.3400,1,-1184.7941,1239.4557,126.7626,8.0281,-14.5851,17.8052,3.7222,0.0773,0.0752,-1.8468
3.4400,1,-1182.4358,1237.9967,127.1882,8.5533,-14.6803,17.4182,5.0743,0.1006,0.0933,-2.9793
3.5400,1,-1184.3067,1237.7370,130.7644,7.5800,-14.1151,17.9500,6.3760,0.0493,0.2068,-0.0959
3.6400,1,-1183.7541,1237.8745,131.9798,7.4301,-13.5944,17.8069,7.7101,0.0659,0.2453,1.2279
3.7400,1,-1183.7829,1235.7421,134.6985,7.2212,-13.8014,18.0572,10.2060,0.0158,0.3370,1.4357
3.8400,1,-1180.2814,1233.3986,135.5775,8.1515,-14.2572,17.7834,11.3337,0.0463,0.3745,-1.0840
3.9400,1,-1180.6802,1229.8404,135.0725,7.8919,-14.8789,17.1806,11.0342,-0.0461,0.3611,-1.8971
4.0400,1,-1179.5346,1226.9647,137.7482,8.0670,-15.3249,17.4124,14.1496,-0.0853,0.4555,-3.0294
4.1400,1,-1174.8967,1229.1454,137.8846,9.0506,-14.3754,17.0056,14.3058,0.0783,0.4618,-3.1359
4.2400,1,-1173.9916,1227.7078,139.5852,9.0506,-14.3754,17.0056,15.9416,0.0669,0.5206,-3.1442
4.3400,1,-1172.5583,1223.9649,140.8712,9.3169,-15.0904,16.8788,17.7716,0.0144,0.5713,-5.2084
4.4400,1,-1173.7700,1220.2320,137.5423,8.8172,-15.6690,15.6520,15.2071,-0.1026,0.4619,-5.8164
4.5400,1,-1179.0031,1217.1127,143.0791,7.1170,-15.8306,16.6465,21.2029,-0.3032,0.6414,-2.4616
4.6400,1,-1175.9018,1218.8823,147.4639,7.6321,-14.9620,17.3034,24.0878,-0.1862,0.7884,-1.4547
4.7400,1,-1173.6619,1219.3977,146.8493,7.9658,-14.4656,16.7575,23.0974,-0.1195,0.7686,-1.1743
4.8400,1,-1172.8624,1219.5062,145.2318,7.9118,-14.0441,16.0067,21.3276,-0.0975,0.7129,-0.2756
