t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
-0.0600,2,1297.3894,-532.9976,65.1598,0.0000,0.0000,0.0000,7202.1974,156.1196,1.4403,-4494.2092
0.0400,2,1297.3894,-532.9976,65.1598,0.0000,0.0000,0.0000,7200.4308,156.1196,1.4399,-4492.4374
0.1000,2,1297.3894,-532.9976,65.1598,0.0000,0.0000,0.0000,7199.3709,156.1196,1.4397,-4491.3743
0.1400,5,-452.3822,741.4960,84.3533,0.0000,0.0000,0.0000,5048.7367,12.3985,4.3266,-5022.1159
0.2400,5,-452.3822,741.4960,84.3533,0.0000,0.0000,0.0000,5047.0227,12.3985,4.3263,-5020.4010
0.3000,5,-456.1938,739.1705,84.3533,-0.2127,-0.1297,0.0000,5044.8898,12.1040,4.3261,-5019.3735
0.3400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2296.2318,21.2953,7.9736,-814.3016
0.4400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2295.3547,21.2953,7.9733,-812.6475
0.5000,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2294.8336,21.2953,7.9731,-811.6638
0.5400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2294.4908,21.2953,7.9730,-811.0163
0.6400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1676.2966,-13.9170,3.9935,-993.1519
0.7000,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1675.6353,-13.9170,3.9934,-992.1909
0.7400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1675.1985,-13.9170,3.9933,-991.5560
0.9000,12,-4118.6894,2604.5154,444.7888,0.0304,0.0482,0.0000,1672.7106,-13.9066,3.9929,-989.0280
1.0400,12,-4118.6851,2604.5221,444.7888,0.0304,0.0482,0.0000,1671.2011,-13.9065,3.9925,-986.8398
1.1000,12,-4118.6833,2604.5250,444.7888,0.0304,0.0482,0.0000,1670.5571,-13.9064,3.9924,-985.9056
1.1400,12,-4118.6821,2604.5269,444.7888,0.0304,0.0482,0.0000,1670.1298,-13.9064,3.9923,-985.2856
1.2400,12,-4118.6790,2604.5317,444.7888,0.0304,0.0482,0.0000,1669.0639,-13.9063,3.9920,-983.7379
1.3000,12,-4118.6772,2604.5346,444.7888,0.0304,0.0482,0.0000,1668.4261,-13.9063,3.9919,-982.8114
1.4400,12,-4118.6730,2604.5414,444.7888,0.0304,0.0482,0.0000,1666.9450,-13.9062,3.9915,-980.6581
1.5000,12,-4118.6711,2604.5443,444.7888,0.0304,0.0482,0.0000,1666.3119,-13.9062,3.9914,-979.7370
1.5400,12,-4118.6699,2604.5462,444.7888,0.0304,0.0482,0.0000,1665.8909,-13.9061,3.9913,-979.1243
1.6400,12,-4118.6669,2604.5510,444.7888,0.0304,0.0482,0.0000,1664.8398,-13.9061,3.9911,-977.5937
1.7000,12,-4118.6650,2604.5539,444.7888,0.0304,0.0482,0.0000,1664.2101,-13.9060,3.9909,-976.6764
1.7400,12,-4118.6638,2604.5558,444.7888,0.0304,0.0482,0.0000,1663.7912,-13.9060,3.9908,-976.0658
1.8400,12,-4118.6608,2604.5606,444.7888,0.0304,0.0482,0.0000,1662.7450,-13.9059,3.9906,-974.5401
1.9000,12,-4118.6590,2604.5635,444.7888,0.0304,0.0482,0.0000,1662.1181,-13.9059,3.9905,-973.6254
1.9400,20,-2440.5305,5727.6622,-134.6914,-0.0150,0.1598,-0.0115,2217.1153,20.7070,-2.4642,361.0218
2.0400,20,-2440.5320,5727.6782,-134.6926,-0.0150,0.1598,-0.0115,2217.0963,20.7070,-2.4644,362.5593
2.1000,20,-2440.5329,5727.6878,-134.6933,-0.0150,0.1598,-0.0115,2217.0854,20.7070,-2.4645,363.4813
2.1400,20,-2443.7173,5732.1412,-134.7621,-0.6610,1.0653,-0.0254,2217.7728,20.6961,-2.4642,369.4349
2.2400,20,-2443.7834,5732.2477,-134.7647,-0.6610,1.0653,-0.0254,2217.7742,20.6960,-2.4644,371.0787
2.3000,20,-2443.8230,5732.3116,-134.7662,-0.6610,1.0653,-0.0254,2217.7756,20.6959,-2.4646,372.0646
2.3400,20,-2443.8495,5732.3542,-134.7672,-0.6610,1.0653,-0.0254,2217.7768,20.6958,-2.4647,372.7215
2.4400,20,-2446.9301,5733.2798,-135.0675,-1.3589,1.2577,-0.0940,2216.1853,20.6731,-2.4672,376.3057
2.5000,20,-2447.0116,5733.3553,-135.0732,-1.3589,1.2577,-0.0940,2216.1673,20.6727,-2.4674,377.3178
2.5400,20,-2446.0308,5737.0609,-135.4092,-1.1151,2.1317,-0.1728,2219.4290,20.6943,-2.4700,380.9548
2.6400,20,-2446.1423,5737.2741,-135.4265,-1.1151,2.1317,-0.1728,2219.4802,20.6941,-2.4703,382.7119
2.7000,20,-2446.2092,5737.4020,-135.4369,-1.1151,2.1317,-0.1728,2219.5116,20.6940,-2.4705,383.7659
2.7400,20,-2444.5901,5741.1153,-134.8047,-0.7064,3.0333,-0.0158,2223.1322,20.7211,-2.4643,387.1396
2.9000,20,-2444.7031,5741.6006,-134.8073,-0.7064,3.0333,-0.0158,2223.3638,20.7219,-2.4646,390.0559
2.9400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1178.0107,-2.7478,7.2997,-924.6099
3.0400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1176.7505,-2.7478,7.2994,-923.0944
3.1000,44,-3536.0618,3351.6967,730.4737,0.0003,0.0003,0.0000,1175.9924,-2.7477,7.2993,-922.1852
3.1400,44,-3536.0618,3351.6968,730.4737,0.0003,0.0003,0.0000,1175.4888,-2.7477,7.2992,-921.5791
3.2400,44,-3536.0618,3351.6968,730.4737,0.0003,0.0003,0.0000,1174.2301,-2.7477,7.2990,-920.0641
3.3000,44,-3536.0618,3351.6968,730.4737,0.0003,0.0003,0.0000,1173.4753,-2.7477,7.2989,-919.1551
3.3400,44,-3536.0618,3351.6968,730.4737,0.0003,0.0003,0.0000,1172.9722,-2.7477,7.2988,-918.5491
