t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
-0.0600,2,1297.3894,-532.9976,65.1598,0.0000,0.0000,0.0000,7202.1974,156.1196,1.4403,-4494.2092
0.0400,2,1297.3894,-532.9976,65.1598,0.0000,0.0000,0.0000,7200.4308,156.1196,1.4399,-4492.4374
0.1400,5,-452.3822,741.4960,84.3533,0.0000,0.0000,0.0000,5048.7367,12.3985,4.3266,-5022.1159
0.2400,5,-452.3822,741.4960,84.3533,0.0000,0.0000,0.0000,5047.0227,12.3985,4.3263,-5020.4010
0.3400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2296.2318,21.2953,7.9736,-814.3016
0.4400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2295.3547,21.2953,7.9733,-812.6475
0.5400,7,-1917.1739,4630.6925,811.2436,0.0000,0.0000,0.0000,2294.4908,21.2953,7.9730,-811.0163
0.6400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1676.2966,-13.9170,3.9935,-993.1519
0.7400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1675.1985,-13.9170,3.9933,-991.5560
1.0400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1671.9586,-13.9170,3.9925,-986.8401
1.1400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1670.8924,-13.9170,3.9923,-985.2859
1.2400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1669.8316,-13.9170,3.9920,-983.7382
1.4400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1667.7229,-13.9170,3.9915,-980.6583
1.5400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1666.6739,-13.9170,3.9913,-979.1245
1.6400,12,-4119.1636,2603.7649,444.7888,0.0000,0.0000,0.0000,1665.6279,-13.9170,3.9911,-977.5939
1.7400,20,-2440.5275,5727.6303,-134.6891,-0.0150,0.1598,-0.0115,2217.1567,20.7069,-2.4637,357.9417
1.8400,20,-2440.5290,5727.6462,-134.6903,-0.0150,0.1598,-0.0115,2217.1355,20.7069,-2.4639,359.4826
1.9400,20,-2440.5305,5727.6622,-134.6914,-0.0150,0.1598,-0.0115,2217.1153,20.7070,-2.4642,361.0218
2.0400,20,-2440.5320,5727.6782,-134.6926,-0.0150,0.1598,-0.0115,2217.0963,20.7070,-2.4644,362.5593
2.1400,20,-2443.7173,5732.1412,-134.7621,-0.6610,1.0653,-0.0254,2217.7728,20.6961,-2.4642,369.4349
2.2400,20,-2443.7834,5732.2477,-134.7647,-0.6610,1.0653,-0.0254,2217.7742,20.6960,-2.4644,371.0787
2.3400,20,-2443.8495,5732.3542,-134.7672,-0.6610,1.0653,-0.0254,2217.7768,20.6958,-2.4647,372.7215
2.4400,20,-2446.9301,5733.2798,-135.0675,-1.3589,1.2577,-0.0940,2216.1853,20.6731,-2.4672,376.3057
2.5400,20,-2446.0305,5737.0609,-135.4092,-1.1150,2.1317,-0.1728,2219.4292,20.6943,-2.4700,380.9547
2.6400,20,-2446.1420,5737.2741,-135.4265,-1.1150,2.1317,-0.1728,2219.4804,20.6941,-2.4703,382.7118
2.7400,20,-2444.5897,5741.1153,-134.8050,-0.7063,3.0333,-0.0159,2223.1325,20.7211,-2.4643,387.1394
2.9400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1178.0107,-2.7478,7.2997,-924.6099
3.0400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1176.7505,-2.7478,7.2994,-923.0944
3.1400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1175.4911,-2.7478,7.2992,-921.5791
3.2400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1174.2324,-2.7478,7.2990,-920.0641
3.3400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1172.9745,-2.7478,7.2988,-918.5491
3.4400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1171.7174,-2.7478,7.2985,-917.0344
3.5400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1170.4609,-2.7478,7.2983,-915.5197
3.6400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1169.2051,-2.7478,7.2981,-914.0051
3.7400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1167.9500,-2.7478,7.2978,-912.4906
3.8400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1166.6956,-2.7478,7.2976,-910.9761
3.9400,44,-3536.0684,3351.6898,730.4737,0.0000,0.0000,0.0000,1165.4418,-2.7478,7.2974,-909.4618
4.0400,52,-1193.3719,3117.1644,-140.6930,0.0000,0.0000,0.0000,3057.7819,22.8368,-3.6433,-2493.7728
4.1400,52,-1193.3719,3117.1644,-140.6930,0.0000,0.0000,0.0000,3056.4157,22.8368,-3.6435,-2492.2585
4.2400,52,-1193.3719,3117.1644,-140.6930,0.0000,0.0000,0.0000,3055.0497,22.8368,-3.6438,-2490.7443
4.3400,52,-1193.3719,3117.1644,-140.6930,0.0000,0.0000,0.0000,3053.6838,22.8368,-3.6440,-2489.2300
4.4400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1663.0988,12.3668,4.9245,-1142.0373
4.5400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1661.9394,12.3668,4.9243,-1140.5231
4.6400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1660.7806,12.3668,4.9240,-1139.0089
4.7400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1659.6224,12.3668,4.9238,-1137.4948
4.8400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1658.4648,12.3668,4.9236,-1135.9806
4.9400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1657.3078,12.3668,4.9233,-1134.4664
5.0400,77,-2428.9061,3976.2537,502.4758,0.0000,0.0000,0.0000,1656.1513,12.3668,4.9231,-1132.9523
